Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_326:0000269,FrShpPol_Desc_Code,FR_POL_SEC,Characterization/evaluation: Fruit Morphology,Mature,Standard COGENT,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000617,SrcPSizeUnit__Code,UN_SIZ_POP,Passport: Collection data,Permanent,Standard COGENT,SrcPSize_Count_Unit,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000589,SrcPSamStatv,STAT_SAMP,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000605,SrcPTCStat_Code,TISS_CULT,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000527,AccTypeMaint_Code,TYPE_MAIN,Passport: Accession data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000517,AccTypeMat_Code,TYPE_MAT,Passport: Accession data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000655,SrcPUse1_Code,USE1,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000659,SrcPUse2_Code,USE2,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000661,SrcPUse3_Code,USE3,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000470,AccVGrCat_Code,CATEGORY,Passport: Accession data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000474,AccCol1_Code,COLOUR1,Passport: Accession data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000478,AccCol2_Code,COLOUR2,Passport: Accession data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000479,AccCol3_Code,COLOUR3,Passport: Accession data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000023,AccHarvDt_Rec_Date,HARVEST_DT,Characterization/evaluation: Germination,Seed bed,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44272,EN,Coconut
CO_326:0000027,AccFieldDt_Rec_Date,FIE_EST_DT,Characterization/evaluation: Environment,Field establishment,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44272,EN,Coconut
CO_326:0000034,SNutSowDt_Rec_Date ,SOWING_DT,Characterization/evaluation: Germination,Seed bed,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44279,EN,Coconut
CO_326:0000064,StmGirMsDt_Meas_Date,TIM_MEA_AG,Characterization/evaluation: Stem Morphology,Mature,Standard COGENT,,CIRAD,Bocs https://orcid.org/0000-0001-7850-4426,43920,EN,Coconut
CO_326:0000096,StmHtMsDt_Obs_Date_T1,DATE1,Characterization/evaluation: Stem,Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44167,EN,Coconut
CO_326:0000106,StmHtMsDt_Obs_Date_T2,DATE2,Characterization/evaluation: Stem,Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44167,EN,Coconut
CO_326:0000378,YObsBDt_Obs_Date,OBS_BEG_DT,Characterization/evaluation: Fruit Yield,Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000381,YObsEDt_Obs_Date,OBS_END_DT,Characterization/evaluation: Fruit Yield,Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000510,AccAcqDt_Date,ACQ_DATE,Passport: Accession data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000524,AccInventDt_Date,AC_SIZE_DT,Passport: Accession data,Permanent,Standard COGENT,AccCurTreeNb_Count_Palms,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000540,SrcPCollDt_Date,COLL_DATE,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000043,SNutTTo25_Count_D,GERM_25,Characterization/evaluation: Germination,Seed bed,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44259,EN,Coconut
CO_326:0000047,SNutTTo50_Count_D,GERM_50,Characterization/evaluation: Germination,Seed bed,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44259,EN,Coconut
CO_326:0000050,SNutTTo75_Count_D,GERM_75,Characterization/evaluation: Germination,Seed bed,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44259,EN,Coconut
